id;title;description;due_date;done
1;out-of-the-box Adaptive users;Quetzal Reactive HTTP;2021-01-03;false
2;Group generate;Planner;2021-01-02;false
3;Seychelles Rupee blue quantifying;invoice Norwegian Krone;2021-01-03;false
4;niches Connecticut;modular;2021-01-03;true
5;Games array;frame Legacy;2021-01-03;true
6;e-commerce Chair;Music deposit;2021-01-03;false
7;payment;Plastic Incredible;2021-01-03;true
8;CSS;benchmark;2021-01-03;false
9;Credit Card Account Kids North Dakota;Generic Cotton;2021-01-02;false
10;SAS;Group Balanced;2021-01-03;false
